cell_id,block_id,year,valid_frac,dominant_class,y_true,y_pred,abs_error,task,target,pair_id,valid_frac_min
15791,47244640264,,,,0.0,0.2027461377323981,0.2027461377323981,change_regression,delta_water,2020_2021,0.5619834710743802
2304,17179869185,,,,0.27999999999999997,0.0775797812136692,0.20242021878633076,change_regression,delta_water,2020_2021,0.8264462809917356
4780,25769803778,,,,0.2,0.002589759828878378,0.19741024017112163,change_regression,delta_water,2020_2021,0.8264462809917356
23143,38654705676,,,,0.15000000000000002,-0.040842069947626514,0.19084206994762654,change_regression,delta_water,2020_2021,0.7933884297520661
35552,8589934611,,,,0.19,-0.000511672952704165,0.19051167295270416,change_regression,delta_water,2020_2021,0.8264462809917356
32358,17179869201,,,,-1.0,-0.04417919336325357,0.9558208066367464,change_regression,delta_other,2020_2021,0.8264462809917356
32926,17179869201,,,,-0.92,-0.0182757149190248,0.9017242850809752,change_regression,delta_other,2020_2021,0.8264462809917356
32925,17179869201,,,,-0.89,-0.018815231699558864,0.8711847683004411,change_regression,delta_other,2020_2021,0.8264462809917356
33076,17,,,,-0.9411764705882353,-0.10715561542392886,0.8340208551643065,change_regression,delta_other,2020_2021,0.14049586776859505
32169,17179869201,,,,-0.89,-0.08640598337853993,0.8035940166214601,change_regression,delta_other,2020_2021,0.8264462809917356
20246,8589934602,,,,-0.89,-0.09452309512967189,0.7954769048703281,change_regression,delta_other,2020_2021,0.8264462809917356
32928,17179869201,,,,-0.8099999999999999,-0.030458747884146875,0.7795412521158531,change_regression,delta_other,2020_2021,0.8264462809917356
30820,4294967312,,,,-0.71,-0.0023947812499060797,0.7076052187500939,change_regression,delta_other,2020_2021,0.8264462809917356
15229,47244640264,,,,-0.75,-0.04571467068114578,0.7042853293188542,change_regression,delta_other,2020_2021,0.4628099173553719
32929,17179869201,,,,-0.75,-0.04577192013970677,0.7042280798602932,change_regression,delta_other,2020_2021,0.8264462809917356
32739,17179869201,,,,-0.72,-0.017111596116836478,0.7028884038831635,change_regression,delta_other,2020_2021,0.8264462809917356
16142,34359738376,,,,-0.91,-0.21357616885837427,0.6964238311416258,change_regression,delta_other,2020_2021,0.8264462809917356
32927,17179869201,,,,-0.6799999999999999,0.0033364721219715427,0.6833364721219715,change_regression,delta_other,2020_2021,0.8264462809917356
35764,17179869203,,,,-0.76,-0.0793947641251319,0.6806052358748681,change_regression,delta_other,2020_2021,0.8264462809917356
25312,77309411341,,,,-0.75,-0.1027954842025064,0.6472045157974936,change_regression,delta_other,2020_2021,0.8264462809917356
20415,11,,,,-0.7,-0.06352751016607254,0.6364724898339275,change_regression,delta_other,2020_2021,0.3305785123966942
38024,17179869204,,,,-0.64,-0.005249174237313522,0.6347508257626865,change_regression,delta_other,2020_2021,0.8264462809917356
30442,4294967312,,,,-0.71,-0.09950880992031526,0.6104911900796847,change_regression,delta_other,2020_2021,0.8264462809917356
18915,8589934602,,,,-0.71,-0.10455283234207136,0.6054471676579286,change_regression,delta_other,2020_2021,0.8264462809917356
29701,12884901903,,,,-0.72,-0.12274970909084319,0.5972502909091568,change_regression,delta_other,2020_2021,0.8264462809917356
15040,47244640264,,,,-0.5800000000000001,0.0077946289650496735,0.5877946289650497,change_regression,delta_other,2020_2021,0.8264462809917356
32341,8589934609,,,,-0.72,-0.1396571146457585,0.5803428853542415,change_regression,delta_other,2020_2021,0.8264462809917356
31036,17179869200,,,,-0.64,-0.06223276267004282,0.5777672373299572,change_regression,delta_other,2020_2021,0.8264462809917356
33114,17179869201,,,,-0.61,-0.03690470814600011,0.5730952918539999,change_regression,delta_other,2020_2021,0.8264462809917356
9495,21474836485,,,,0.49,-0.08258925341125606,0.572589253411256,change_regression,delta_other,2020_2021,0.8264462809917356
