model,target,fold,mse,rmse,mae,median_ae,max_error,r2,adj_r2,explained_var,mape,smape
lgbm,water_prop,4,0.000505798062147118,0.022489954694198875,0.003704235822474453,0.00011611360383258478,0.5899561044075938,0.8763509097960301,0.8762825702104348,0.8766012591950727,14844975.191997541,197.3163565786622
ridge,other_prop,0,0.0017239893129106026,0.0415209502891083,0.014879146832618729,0.005179804043167439,0.7957741216900464,0.13615286276972638,0.13567518863387773,0.13617017050124558,83166505.19878255,191.91903041936925
lgbm,other_prop,0,0.001592231748268678,0.03990277870360256,0.011965291255857366,0.001722992852668101,0.7241022576423785,0.2021732227406361,0.20173205531649407,0.20217397524008718,57819527.79570649,192.09284343325444
ridge,other_prop,1,0.0016101893250459066,0.04012716442817641,0.016125971887770485,0.0057206240498618,0.8057033864664871,-0.03431804409844896,-0.03488984154297525,-0.029952591345731472,107168525.34758705,192.25927614444814
lgbm,other_prop,1,0.0014079731687176196,0.03752296854884511,0.011884177630862476,0.0014745525338603982,0.6581625061961298,0.09557712788240913,0.09507713980814259,0.09833427240173975,66598818.393449545,192.42074674445948
ridge,other_prop,2,0.001608637434574992,0.04010782261074505,0.015159539839822734,0.00578987494649804,0.8458363820663461,0.07061587277741643,0.07010227477023223,0.07341800616365723,96844205.38846907,191.89988622846178
lgbm,other_prop,2,0.001416418725232001,0.037635338781948025,0.011467511068766348,0.0017066017372579748,0.7699792899618183,0.18166949715473668,0.18121726981066166,0.18350820811421897,61760061.39026876,192.1861474475322
ridge,other_prop,3,0.00355171390575596,0.059596257481120074,0.018135925792813427,0.005523879626435786,0.9835110043640317,0.18232098890242443,0.18186889951184337,0.18428119114173702,81271101.76168013,189.86712770733823
lgbm,other_prop,3,0.0027508039475513946,0.0524481071874991,0.015122409366880672,0.0018630576734264522,1.0016052392861732,0.3667072542324078,0.36635711080496525,0.3672070753907556,60327125.32495057,190.46214173419085
ridge,other_prop,4,0.0029903626783098643,0.05468420867407577,0.01810809484487105,0.00583371095419924,0.980234796292577,0.10672798536731865,0.10623428307478022,0.1078331904894555,90678459.17636149,190.825262682923
lgbm,other_prop,4,0.0027302027386453954,0.05225134197937308,0.014361821274004097,0.0017169986998053994,0.9499426260380157,0.18444216870582397,0.1839914182463761,0.18618801579765354,56723206.44060324,191.08707882975514
